Race,Year,URL,race_name,Updated,n,race,type
Bretagne Classic Ouest–France 2021,2021,https://www.nicerodds.co.uk/bretagne-classic-ouest-france,Who wins Bretagne Classic Ouest–France 2021?,2021-08-29T09:00:49Z,324,race/bretagne-classic/2021,1
Bretagne Classic Ouest–France 2021,2021,https://www.nicerodds.co.uk/bretagne-classic-ouest-france,Who wins Bretagne Classic Ouest–France 2021?,2021-08-28T23:59:45Z,324,race/bretagne-classic/2021,1
Bretagne Classic Ouest–France 2021,2021,https://www.nicerodds.co.uk/bretagne-classic-ouest-france,Who wins Bretagne Classic Ouest–France 2021?,2021-08-28T20:00:47Z,324,race/bretagne-classic/2021,1
Bretagne Classic Ouest–France 2021,2021,https://www.nicerodds.co.uk/bretagne-classic-ouest-france,Who wins Bretagne Classic Ouest–France 2021?,2021-08-28T17:00:46Z,321,race/bretagne-classic/2021,1
Brussels Cycling Classic 2020,2020,https://www.nicerodds.co.uk/brussels-cycling-classic,Who wins Brussels Cycling Classic 2020?,2020-08-30T04:01:35Z,240,race/brussels-cycling-classic/2020,1
Brussels Cycling Classic 2020,2020,https://www.nicerodds.co.uk/brussels-cycling-classic,Who wins Brussels Cycling Classic 2020?,2020-08-29T20:01:34Z,240,race/brussels-cycling-classic/2020,1
Brussels Cycling Classic 2021,2021,https://www.nicerodds.co.uk/brussels-cycling-classic,Who wins Brussels Cycling Classic 2021?,2021-08-28T09:00:45Z,150,race/brussels-cycling-classic/2021,1
Brussels Cycling Classic 2021,2021,https://www.nicerodds.co.uk/brussels-cycling-classic,Who wins Brussels Cycling Classic 2021?,2021-08-27T23:59:42Z,150,race/brussels-cycling-classic/2021,1
Brussels Cycling Classic 2021,2021,https://www.nicerodds.co.uk/brussels-cycling-classic,Who wins Brussels Cycling Classic 2021?,2021-08-27T20:00:47Z,150,race/brussels-cycling-classic/2021,1
Brussels Cycling Classic 2021,2021,https://www.nicerodds.co.uk/brussels-cycling-classic,Who wins Brussels Cycling Classic 2021?,2021-08-27T17:00:48Z,171,race/brussels-cycling-classic/2021,1
