stage,race,race_standard,year,class,time_trial,one_day_race,grand_tour,type,sof,tt,classics,n
8,giro d'italia,Giro d'Italia,2018,2.UWT,0,0,1,60.57872943,108.7989506,-9.419158247,-28.32901553,10
8,giro d'italia,Giro d'Italia,2019,2.UWT,0,0,1,-147.7169113,8.931876868,-1.609921568,-10.50387295,9
9,giro d'italia,Giro d'Italia,2014,2.UWT,0,0,1,52.09832142,102.4067439,-0.835354103,-20.41516806,9
9,giro d'italia,Giro d'Italia,2015,2.UWT,0,0,1,26.48885567,33.37186183,-0.045342231,-7.757390008,6
9,giro d'italia,Giro d'Italia,2016,2.UWT,1,0,1,17.18534493,16.85423913,-28.84730602,16.46288709,6
9,giro d'italia,Giro d'Italia,2017,2.UWT,0,0,1,77.23041883,171.2216286,-30.13215016,-34.07206869,10
9,giro d'italia,Giro d'Italia,2018,2.UWT,0,0,1,67.05223644,120.8963091,-33.57565279,-28.3902904,10
9,giro d'italia,Giro d'Italia,2019,2.UWT,1,0,1,44.06935581,64.71461116,-13.3376845,-3.857923488,9
10,giro d'italia,Giro d'Italia,2014,2.UWT,0,0,1,-81.5537031,24.55549979,27.39307227,1.670785296,8
10,giro d'italia,Giro d'Italia,2015,2.UWT,0,0,1,-103.2552233,3.499223382,-0.77922925,-10.79057898,7
10,giro d'italia,Giro d'Italia,2016,2.UWT,0,0,1,38.62836483,85.78263133,16.83978965,-9.861658863,7
10,giro d'italia,Giro d'Italia,2017,2.UWT,1,0,1,41.25911073,88.46996199,-39.22940087,13.70083587,8
10,giro d'italia,Giro d'Italia,2018,2.UWT,0,0,1,-13.76238896,-8.467213865,17.60420185,6.279193575,9
10,giro d'italia,Giro d'Italia,2019,2.UWT,0,0,1,-136.9884552,7.478503358,-4.13771888,-8.437195952,9
11,giro d'italia,Giro d'Italia,2014,2.UWT,0,0,1,23.686673,9.696650569,0.53415758,0.341226827,8
