race;stage;rider;
;;Lastra Jonathan;
;;Demare Arnaud;
;;Cimolai Davide;
;;Naesen Lawrence;
;;Van Zyl Johann;
;;Golas Michal;
;;Haga Chad;
;;Stuyven Jasper;
;;Paulinho Pedro;
;;Martingil Cesar;
;;Toffali Nicola;
;;Veloso Gustavo Cesar;
tour-of-utah-2018;1;Huffman Evan;
;;Olivier Daan;
;;Simpson George;
;;Mawditt Lionel;
;2;Huffman Evan;
;;Bassetti Sam;
;;Hernandez Michael;
;;Anderson Edward;
;;Mcgeough Cormac;
;;Easter Griffin;
;3;Baca Tony;
;;Schruers Hamish;
;;Rice Michael;
;;Clarke Jonathan;
;;Canty Brendan;
;;Hecht Gage;
;;Hamilton Lucas;
;;Britton Rob;
;;Didier Laurent;
;;Cima Damiano;
;4;Bennett Sean;
;;Conci Nicola;
;;Tvetcov Serghei;
;;Anderson Edward;
;;Rosskopf Joey;
;;Ries Michel;
;;Ellsay Nigel;
;5;Jaramillo Daniel;
;;Huffman Evan;
;;Plaza Ruben;
;;Reijnen Kiel;
;;Clarke Jonathan;
;;Meyer Cameron;
;;Frankiny Killian;
;;Eg Niklas;
;;Santamorita Ivan;
;;Shelden Taylor;
;;Sanchez Brayan;
;;Rosskopf Joey;
;;Easter Griffin;
;6;Castillo Ulises;
;;Huffman Evan;
;;Bewley Sam;
;;Power Robert;
;;Brown Nathan;
;;Cheyne Jordan;
;;Jaramillo Daniel;
;;Mannion Gavin;
;;Sanchez Brayan;
;;Mawditt Lionel;
;;Jean Emile;
;;Easter Griffin;
;;Baca Tony;
;;Conti Niccola;
;;Cima Damiano;
vuelta-a-burgos-2018;1;Garcia Ricardo;race/vuelta-a-burgos/2018
;;Lunke Sindre;
;;Torres Pablo;
;;Nauleau Bryan;
;;De Rossi Lucas;
;;Sevilla Diego;
;2;Cornu Jeremy;
;;Fernandez Egoitz;
;;Ezquerra Jesus;
;;Ropero Alejandro;
;;Guernalec Thibault;
;;Lopez-Cozar Juan Antonio;
;3;Mas Lluis;
;;Fernandez Delio;
;;Torres Pablo;
;;Lunke Sindre;
;;Juaristi Txomin;
;4;Rubio Diego;
;;Juaristi Txomin;
;;Guernalec Thibault;
;;Amezqueta Julen;
;;De Rossi Lucas;
;5;Castrillo Jaime;
;;Van Zyl Johann;
;;King Ben;
;;Rosa Diego;
;;Madrazo Angel;
;;De Rossi Lucas;
;;Quemeneur Perrig;
;;Bravo Garikoitz;
;;Rubio Diego;
;;Torres Pablo;
;;Rojas Jose Joaquin;
;;Bagioli Nicola;
presidential-cycling-tour-of-turkey-2018;1;Samli Feritcan;
;;Van Rooy Kenneth;
;;Txoperena Benat;
;;Barrenetxea Ander;
;;Sessler Nicolas;
;3;Barcelo Fernando;
;;Reyes Aldemar;
;;Wurtz Schmidt Mads;
;;Txoperena Benat;
;;Samli Feritcan;
;;Atalay Muhammed;
;;Van Rooy Kenneth;
;4;Bole Grega;
;;Rubio Diego;
;;Irisarri Jon;
;;Sierra Yecid;
;;Reyes Aldemar;
;5;Antunes Amaro;
;;De Gendt Aime;
;;Balkan Onur;
;;Trusov Nikolay;
;;Reis Rafael;
;6;Vervaeke Louis;
;;Wyss Danilo;
;;Van Hecke Preben;
;;Txoperena Benat;
;;Mihaylov Nikolay;
;;Atalay Muhammed;
;;Masson Christophe;
;;Cieslik Pavel;
adriatica-ionica-race-2018;2;Montoya Javier;
;;Logica Enrico;
;;Draperi Matteo;
;3;Pedretti Giovanni;
;;Di Sante Antonio;
;;Narvaez Jhonatan;
;;Gerts Floris;
;;Canola Marco;
;;Felline Fabio;
;;Frapporti Marco;
;;Gazzara Michele;
;;Arashiro Yukiya;
;4;Wang Meiyin;
;;Toniatti Andrea;
;;Tizza Marco;
;;Van Der Lijke Nick;
;;Logica Enrico;
;;Cholokav Stanimir;
;5;Cima Damiano;
;;Gazzara Michele;
;;Chun Kai Feng;
;;Atapuma Darwin;
;;Orsini Umberto;
;;Florez Miguel Eduardo;
arctic-race-of-norway-2018;1;Caruso Damiano;
;;Roche Nicolas;
;;Machado Tiago;
;;Lammertink Maurits;
;;Delfosse Sebastien;
;;Wirtgen Tom;
;;Janse Van Rensburg Jacques;
;;Fominhykh Daniil;
;;Cardis Romain;
;;Laporte Christophe;
;;Skaarseth Anders;
;;Deltombe Kevin;
;;Van Hecke Preben;
;;Meisen Marcel;
;;Barguil Warren;
;;Hardy Romain;
;;Lunke Sindre;
;;Martin Guillaume;
;;Lukkedal Oyvind;
;;Kasperskiewicz Przemyslaw;
;;Byron Miguel;
;;Kulset Sindre;
;;De Backer Bert;
;;Dahl Hermann;
;;Hagen Carl Fredrik;
;;Le Bon Johan;
;2;Chetout Loic;
;;Anderson Ryan;
;;Van Winden Dennis;
;;Evensen Henrik;
;;Martinez Yannick;
;;Lunke Sindre;
;3;Smit Willie;
;;Wirtgen Tom;
;;Le Bon Johan;
;;Swift Connor;
;;Journiaux Axel;
;;Toupalik Adam;
;;Carpenter Robin;
;;Lukkedal Oyvind;
;4;Niv Guy;
;;Debesay Meksad;
;;Delfosse Sebastien;
;;Mortier Julien;
;;Skjerping Kristoffer;
;;Kreder Wesley;
;;Mihaylov Nikolay;
;;Bryan Miguel;
;;Lemoine Cyril;
;;Van Hecke Preben;
;;Machado Tiago;
