race;stage;rider;
;;Power Robert;
;;Stuyven Jasper;
;5;Denz Nico;
;;Oss Daniel;
;;Van Hooydonck Nathan;
;;Rovny Ivan;
;;Van Asbroeck Tom;
;;Van Der Sande Tosh;
;;Arcas Jorge;
;;Gabburo Davide;
;;Zardini Edoardo;
;;Pedersen Mads;
;;Simon Julien;
;;Morabito Steve;
;;Visconti Giovanni;
;6;Ballerini Davide;
;;King Ben;
;;Van Hoecke Gijs;
;;Maestri Mirco;
;;Boev Igor;
;;Rojas Jose Joaquin;
;;Quintana Dayer;
tour-of-california-2019;1;Schar Michael;race/tour-of-california/2019
;;Planet Charles;
;;Stites Tyler;
;;De Vreese Laurens;
;2;Rowe Luke;
;;Pedersen Mads;
;;Huffman Evan;
;;Ballerini Davide;
;;Bernas Pawel;
;;Storer Michael;
;;Hernandez Michael;
;3;Cavagna Remi;
;;Hoehn Alex;
;4;Goldstein Roy;
;;Brown Johnny;
;;Garrison Ian;
;;Henttala Joonas;
;;Hernandez Michael;
;5;Ballerini Davide;
;;Skujins Toms;
;;Powless Neilson;
;;Hofstede Lennard;
;;Schar Michael;
;;Mcnulty Brandon;
;;Philipsen Jasper;
;;Declercq Tim;
;;Basso Leonardo;
;;Sagan Peter;
;;Hoehn Alex;
;;Bol Cees;
;6;Doull Owain;
;;Houle Hugo;
;;Hofstede Lennard;
;;Storer Michael;
;;Bernas Pawel;
;;Pernsteiner Hermann;
;;Badilatti Matteo;
;;Bjerg Mikkel;
;7;Schachmann Maximilian;
;;Rosa Diego;
;;Craddock Lawson;
;;Hofstede Lennard;
;;Powless Neilson;
;;Oliveira Rui;
;;Stetina Peter;
;;Cavagna Remi;
;;Ballerini Davide;
;;Storer Michael;
;;Hoehn Alex;
vuelta-a-burgos-2019;1;Ezquerra Jesus;race/vuelta-a-burgos/2019
;;Goldstein Roy;
;;Kurianov Stepan;
;;Aranburu Joan;
;;Sevilla Diego Pablo;
;2;Brandle Matthias;
;;Koberynak Evgeny;
;;Ballarin Iker;
;;Viegas Daniel;
;3;Madrazo Angel;
;;Brandle Matthias;
;;Courteille Arnaud;
;;De Rossi Lucas;
;;Camacho Juan;
;;Pellaud Simon;
;4;Madrazo Angel;
;;Pellaud Simon;
;;Turgis Jimmy;
;;Puppio Antonio;
;;Azurmendi Ibai;
;;Etxebarria Asier;
;;Renard Alexis;
;5;Arcas Jorge;
;;Riabushenko Alexandr;
;;El Fares Julien;
;;Sutherland Rory;
;;Madrazo Angel;
;;Rovny Ivan;
;;Bizkarra Mikel;
